bulan,kopi,teh,rempah,tembakau,cokelat,udang,tanilain,tekstil,kayu,sawit,kimia,logam,alat,semen,kertas,karet,minyak,elpiji,manufakturlain,tembaga,nikel,batubara,bauksit,crude,gas,gascair,tambanglain,emas
1/01/2010,36312,11889,18540,6425,127962,54958,105325,836334,214095,565344,254486,593539,526702,2989,288466,505683,296280,,1899732,263670,39735,1344304,24857,718273,1049665,754473,23575,58107
1/02/2010,36858,11734,16752,4728,67117,60874,125776,814565,241661,805257,256887,548909,581052,6039,298346,631605,325349,,1951675,446785,34594,1348624,22999,826872,945454,689446,43447,55722
1/03/2010,39535,14239,24954,8512,114329,68049,111998,916195,254687,928524,283782,1002479,683638,8087,350199,773076,246641,,2284053,724134,50842,1520672,42212,913640,1026612,724647,32253,76236
1/04/2010,45247,13074,21440,10471,17260,69619,123098,870609,234767,600508,303844,678313,676969,8881,357734,772325,319986,,2314475,322333,34815,1399697,33987,866674,1141495,830103,29723,120110
1/05/2010,60271,12302,25826,6909,127798,63006,119479,888548,229760,788746,332051,654923,677666,8809,357008,791302,389152,,2240443,545442,48632,1277285,33129,903487,1136135,823827,25486,163462
1/06/2010,77593,12322,30163,7282,60956,83919,120270,981359,239067,864754,237749,681485,670858,5943,345368,780795,234197,,2385290,341779,41563,1510298,43588,885780,1028868,752482,20895,146505
1/07/2010,85715,14032,38082,6713,218033,80465,117850,1069407,245280,804863,238751,671565,689532,7355,320565,792863,261244,,2348782,604361,24115,1505434,52673,819266,1036619,745414,24756,71934
1/08/2010,105460,13766,51780,6717,101869,71350,120589,1047369,239887,1708549,257320,710237,726041,9530,348783,761231,228624,,2614926,464015,63159,1529803,47460,941525,1115982,821675,25609,68768
1/09/2010,80265,9703,39563,3045,46794,61172,98653,772909,179319,950138,273204,741363,703033,9982,318254,709317,310458,,2045285,845596,40727,1391289,25658,1003000,1048622,758277,42033,59874
1/10/2010,75933,13334,45870,4951,182641,78483,134951,956751,253386,1535021,312491,872092,815865,8032,382774,856597,213874,,2747006,257437,72180,1469003,43720,924090,1153000,851000,32378,75494
1/11/2010,82881,10541,53060,5340,36159,77748,135710,915132,228253,1693153,309619,940065,733651,8159,357179,868674,231149,,2760309,569483,68680,1650791,48687,1166695,1131449,829749,31373,98091
1/12/2010,85927,12633,42841,5128,85800,81344,135066,1106880,258867,1645284,311806,895026,669404,24998,396468,955934,528980,,2963497,940193,55642,1854030,34982,1249467,1153785,851396,49998,105064
1/01/2011,82557,11771,34309,1871,68589,68317,116461,1073841,216896,1341980,379756,892529,628520,6640,316447,1077162,480607,21161,2753092,375203,67481,1711717,37910,998281,1323642,972740,39865,56361
1/02/2011,80906,10605,23997,2277,78287,81440,116240,1054834,214292,953270,302337,880106,633792,4830,304443,1112196,275700,35537,2637087,496576,68347,1676696,50359,1131051,1093750,748639,35671,81369
1/03/2011,117249,12898,47295,5819,60247,89186,139955,1198625,285384,507532,381420,1105685,740248,5226,361925,1359004,375170,27052,2912610,501068,90137,2018013,62709,1306100,1453000,1026000,41627,103132
1/04/2011,96200,11049,52534,5416,4265,86449,141011,1074455,270340,1290349,446654,1009290,624530,6099,366446,1368388,430110,33381,2915975,204129,106272,1901510,72313,1208500,1564718,1116000,32147,214956
1/05/2011,94819,10916,34660,9269,81044,72340,143652,1146546,258162,1983945,485868,966282,658230,2950,375839,1315754,278550,38589,3081081,398899,119932,2217298,72265,1229000,1599173,1157300,50721,131199
1/06/2011,95046,11241,32181,6089,61146,100900,127549,1165661,291154,1845042,357395,990276,714878,2638,369054,1210214,258443,31720,3101783,584623,106956,2350072,61531,1084608,1389941,951823,60420,140861
1/07/2011,96283,12656,28302,8894,67357,100209,126655,1194794,270625,712656,398716,1083175,713315,4314,371231,1283501,231350,35634,2956672,611642,117716,2427956,60104,1199837,1712197,1259109,50422,185038
1/08/2011,79120,10952,35003,2286,26704,88672,136891,1179458,277592,2014525,440901,913044,800880,5230,323183,1182679,437870,32835,3194271,570905,128571,2422578,59540,1116000,1803556,1326000,44519,86200
1/09/2011,71881,10978,31598,6781,29754,80473,140613,969212,256751,1382720,360608,775976,818919,6194,375478,1121757,375460,22306,3145872,477378,128370,2314138,69558,1194210,1671833,1230500,46216,58693
1/10/2011,74719,11877,41963,4027,18348,106705,176916,976716,312806,1224379,419438,705255,837247,4780,338596,1267805,297760,2779,3144898,321835,155717,2644778,73649,1028600,1470547,1010000,48150,228818
1/11/2011,68376,9468,32340,3885,77046,95527,173769,985321,298268,1945134,301840,688919,697694,4709,305788,947563,303120,13450,3053728,285,145056,2581107,82464,1269991,1410598,948983,40054,290625
1/12/2011,73183,11956,36136,4421,43415,94402,199267,1153366,292344,1508324,304632,763880,724213,4114,335971,837701,323590,82,3204358,164390,98617,2658720,64737,1400389,1703258,1214430,49160,99189
1/01/2012,56959,9040,29823,1732,38504,92441,152731,1053037,264146,1612618,292836,760086,906625,2538,312688,785129,380002,22,3109937,340033,85563,2160292,52228,912783,1840398,1349703,48506,103527
1/02/2012,56325,10177,45749,3633,42909,93824,182964,1060126,297951,1315213,277704,954271,909508,1246,323316,844512,280021,41,3151171,177734,137167,2113861,83877,1175920,1515654,1045880,50306,305428
1/03/2012,59970,12088,40128,5696,31692,96752,177818,1074534,297306,1744548,305838,809111,971798,1827,357941,964344,316946,2740,3495225,43451,153472,2528415,85934,1143643,1829759,1290759,57414,93937
1/04/2012,73301,11167,29257,6224,18710,90707,154048,966827,269963,1422900,324561,665234,870669,1040,328138,963555,353149,884,3249622,231518,191844,2383555,108732,1007742,1691075,1184381,68637,110348
1/05/2012,98535,12538,31832,4920,42827,88245,170442,1126709,288957,1090736,311514,738208,958906,1197,359770,1102291,278807,919,3585504,385523,82143,2476586,44282,1080710,1547898,1048840,24062,128596
1/06/2012,117510,9877,34450,7395,26506,98693,152158,1098661,282524,1085994,297474,765670,947846,2261,340859,1045169,291292,417,3372351,173787,43434,2154897,95,943782,1531077,1098502,18936,202615
1/07/2012,150096,10147,77306,10528,34092,92529,162818,1130150,267243,1934079,293217,690595,963961,809,338563,873041,186637,703,3523480,245682,57923,1967418,18665,903519,1221837,787175,22527,165642
1/08/2012,120061,9490,61708,1584,17231,70957,138170,951194,231555,1325681,315512,633869,895334,1237,301553,785922,268049,71,2978404,169503,59629,1861682,28150,1061380,1544333,1085177,33139,109672
1/09/2012,160864,10980,89460,5624,61349,101609,171508,999765,270374,1734703,313926,728895,998414,2694,329852,760023,257163,976,3481040,174680,100200,1900216,23702,975150,1141123,659209,22162,421971
1/10/2012,144284,10962,79759,8414,20450,106656,201371,981045,277665,1223330,289560,993455,931159,3173,322284,762668,164832,585,3526590,168501,145976,2143704,48276,1151857,1238541,725363,34141,145352
1/11/2012,115769,10414,69854,2558,31124,93638,185867,1005295,289564,1798280,289717,772639,910865,1283,307684,760099,219261,1793,3464513,199879,205943,2279840,71009,1080148,1247586,794348,34814,123352
1/12/2012,88250,9873,42420,2483,22931,85338,173457,1062879,300902,1397046,322678,791941,892338,744,315735,721428,273841,26,3277586,255699,195113,2277805,72649,1286508,1321682,874214,41016,98847
1/01/2013,78193,11601,40475,5415,32636,84387,159523,1111450,248519,1703248,277702,763377,860925,984,296086,751758,354419,1520,3259444,206295,165575,2129747,50465,810724,1469563,1018988,43668,131702
1/02/2013,84082,13344,30532,7361,27412,90403,148262,1003554,269250,1418481,292344,794484,873296,1800,306668,798523,279875,1041,3139687,161704,153109,1913804,74769,1069698,1187451,757912,49311,103685
1/03/2013,80295,12230,31636,11180,33978,110365,154680,1064686,289083,1084755,292087,727060,947765,2420,311384,884527,336735,597,3253156,156406,167402,2263080,96974,1012584,1515047,1036912,55897,125441
1/04/2013,91557,10919,32260,10025,32246,120219,158539,1045229,313061,1187749,282798,746670,859405,2057,316309,849954,257485,857,3228494,318472,115656,2195959,107121,917777,1291605,846737,54527,95554
1/05/2013,101841,9414,28147,9299,37502,114672,178411,1140891,305133,1480382,313598,754946,872177,4437,332225,833552,315389,1095,3650283,249948,104440,2266109,109915,993451,1094543,662268,53158,95120
1/06/2013,93193,10586,23096,5739,40172,120797,147484,1095300,291465,1485717,267069,724388,938172,2225,314634,744333,308915,1204,3359839,,111337,1945091,93309,1009082,1280951,874509,40418,102720
1/07/2013,141422,12786,57573,6312,41301,136899,163984,1367258,322647,1022690,263415,662843,977045,9758,325485,850180,289774,468,3610176,214540,76448,2053240,149094,993512,1162368,748022,40815,117180
